"","k","n","f","alpha","power"
"78",3,55.8829172124578,0.4,0.01,0.5
"68",3,71.5319542526864,0.35,0.01,0.5
"58",3,95.6557218549557,0.3,0.01,0.5
"48",3,135.678156354719,0.25,0.01,0.5
"38",3,209.371677778452,0.2,0.01,0.5
"28",3,368.60441030338,0.15,0.01,0.5
"18",3,823.577936314989,0.1,0.01,0.5
"79",3,60.6206300220279,0.4,0.01,0.55
"69",3,77.7209249066887,0.35,0.01,0.55
"59",3,104.080574812044,0.3,0.01,0.55
"49",3,147.810938800931,0.25,0.01,0.55
"39",3,228.330129371297,0.2,0.01,0.55
"29",3,402.309157516195,0.15,0.01,0.55
"19",3,899.414400284334,0.1,0.01,0.55
"710",3,65.6402473892689,0.4,0.01,0.6
"610",3,84.2781374265875,0.35,0.01,0.6
"510",3,113.006658342933,0.3,0.01,0.6
"410",3,160.665503743829,0.25,0.01,0.6
"310",3,248.416279988947,0.2,0.01,0.6
"210",3,438.01876983501,0.15,0.01,0.6
"110",3,979.761782894799,0.1,0.01,0.6
"711",3,71.0460305304199,0.4,0.01,0.65
"611",3,91.3397126439017,0.35,0.01,0.65
"511",3,122.619299329573,0.3,0.01,0.65
"411",3,174.508690566421,0.25,0.01,0.65
"311",3,270.047219493667,0.2,0.01,0.65
"211",3,476.474613627194,0.15,0.01,0.65
"111",3,1066.28817366816,0.1,0.01,0.65
"712",3,76.9820557169227,0.4,0.01,0.7
"612",3,99.0939632107546,0.35,0.01,0.7
"512",3,133.174740146729,0.3,0.01,0.7
"412",3,189.709541701507,0.25,0.01,0.7
"312",3,293.799495757488,0.2,0.01,0.7
"212",3,518.701729773742,0.15,0.01,0.7
"112",3,1161.299913134,0.1,0.01,0.7
"713",3,83.6630890207627,0.4,0.01,0.75
"613",3,107.821333616823,0.35,0.01,0.75
"513",3,145.054774992541,0.3,0.01,0.75
"413",3,206.817851444873,0.25,0.01,0.75
"313",3,320.532181297755,0.2,0.01,0.75
"213",3,566.227398725684,0.15,0.01,0.75
"113",3,1268.23341311202,0.1,0.01,0.75
"714",3,91.4385210047702,0.4,0.01,0.8
"614",3,117.978249491421,0.35,0.01,0.8
"514",3,158.880653194837,0.3,0.01,0.8
"414",3,226.728258781255,0.25,0.01,0.8
"314",3,351.643235403048,0.2,0.01,0.8
"214",3,621.53678146505,0.15,0.01,0.8
"114",3,1392.6803717504,0.1,0.01,0.8
"715",3,15.8939377391576,0.4,0.015,0.1
"615",3,19.410225718365,0.35,0.015,0.1
"515",3,24.8368832080726,0.3,0.015,0.1
"415",3,33.8509179810883,0.25,0.015,0.1
"315",3,50.4655994754439,0.2,0.015,0.1
"215",3,86.3906831168785,0.15,0.015,0.1
"115",3,189.075936177884,0.1,0.015,0.1
"716",3,20.8662038128351,0.4,0.015,0.15
"616",3,25.9006099749501,0.35,0.015,0.15
"516",3,33.6706759425412,0.3,0.015,0.15
"416",3,46.5743861383602,0.25,0.015,0.15
"316",3,70.3513294795965,0.2,0.015,0.15
"216",3,121.749891834472,0.15,0.015,0.15
"116",3,268.641512529581,0.1,0.015,0.15
"717",3,25.367227759774,0.4,0.015,0.2
"617",3,31.7801515157573,0.35,0.015,0.2
"517",3,41.6756595702301,0.3,0.015,0.2
"417",3,58.1051581414899,0.25,0.015,0.2
"317",3,88.3725207746233,0.2,0.015,0.2
"217",3,153.792224237221,0.15,0.015,0.2
"117",3,340.741395855115,0.1,0.015,0.2
"718",3,29.6172980322867,0.4,0.015,0.25
"618",3,37.3330258941711,0.35,0.015,0.25
"518",3,49.2363630294707,0.3,0.015,0.25
"418",3,68.9957694776377,0.25,0.015,0.25
"318",3,105.392579901014,0.2,0.015,0.25
"218",3,184.053625781518,0.15,0.015,0.25
"118",3,408.832777022596,0.1,0.015,0.25
"719",3,33.7396808125284,0.4,0.015,0.3
"619",3,42.7193960272143,0.35,0.015,0.3
"519",3,56.5702972546732,0.3,0.015,0.3
"419",3,79.5594177683854,0.25,0.015,0.3
"319",3,121.901159431971,0.2,0.015,0.3
"219",3,213.404962252122,0.15,0.015,0.3
"119",3,474.875826351431,0.1,0.015,0.3
"720",3,37.8175385510126,0.4,0.015,0.35
"620",3,48.0476425374414,0.35,0.015,0.35
"520",3,63.8249374538489,0.3,0.015,0.35
"420",3,90.0085636607819,0.25,0.015,0.35
"320",3,138.230358352505,0.2,0.015,0.35
"220",3,242.436991104932,0.15,0.015,0.35
"120",3,540.199967030174,0.1,0.015,0.35
"721",3,41.9160857743139,0.4,0.015,0.4
"621",3,53.4027907771751,0.35,0.015,0.4
"521",3,71.1160775475544,0.3,0.015,0.4
"421",3,100.509999184184,0.25,0.015,0.4
"321",3,154.641029701208,0.2,0.015,0.4
"221",3,271.61339145412,0.15,0.015,0.4
"121",3,605.848621654843,0.1,0.015,0.4
"722",3,46.0934629133808,0.4,0.015,0.45
"622",3,58.8608774066023,0.35,0.015,0.45
"522",3,78.5471345790504,0.3,0.015,0.45
"422",3,111.21268592801,0.25,0.015,0.45
"322",3,171.365854081789,0.2,0.015,0.45
"222",3,301.348179970156,0.15,0.015,0.45
"122",3,672.753426665002,0.1,0.015,0.45
"723",3,50.4078764504958,0.4,0.015,0.5
"623",3,64.4978904340334,0.35,0.015,0.5
"523",3,86.221593403052,0.3,0.015,0.5
"423",3,122.26577396543,0.25,0.015,0.5
"323",3,188.638030300914,0.2,0.015,0.5
"223",3,332.055829215621,0.15,0.015,0.5
"123",3,741.847007813464,0.1,0.015,0.5
"724",3,54.9237320952671,0.4,0.015,0.55
"624",3,70.397919130214,0.35,0.015,0.55
"524",3,94.2539682293984,0.3,0.015,0.55
"424",3,133.834120837499,0.25,0.015,0.55
"324",3,206.715170115322,0.2,0.015,0.55
"224",3,364.194385794198,0.15,0.015,0.55
"124",3,814.160039006395,0.1,0.015,0.55
"725",3,59.7183971880369,0.4,0.015,0.6
"625",3,76.662081691599,0.35,0.015,0.6
"525",3,102.781876317473,0.3,0.015,0.6
"425",3,146.115986836123,0.25,0.015,0.6
"325",3,225.907085252227,0.2,0.015,0.6
"225",3,398.314698396103,0.15,0.015,0.6
"125",3,890.931876236389,0.1,0.015,0.6
"726",3,64.8921192077319,0.4,0.015,0.65
"626",3,83.4213319392862,0.35,0.015,0.65
"526",3,111.983648734806,0.3,0.015,0.65
"426",3,159.36804225809,0.25,0.015,0.65
"326",3,246.614917826905,0.2,0.015,0.65
"226",3,435.129899516779,0.15,0.015,0.65
"126",3,973.767182334863,0.1,0.015,0.65
"727",3,70.5840710968633,0.4,0.015,0.7
"627",3,90.8574210007855,0.35,0.015,0.7
"527",3,122.106678369108,0.3,0.015,0.7
"427",3,173.946785442884,0.25,0.015,0.7
"327",3,269.395567345881,0.2,0.015,0.7
"227",3,475.630071100271,0.15,0.015,0.7
"127",3,1064.89363521855,0.1,0.015,0.7
"728",3,77.0021572301811,0.4,0.015,0.75
"628",3,99.2420134397472,0.35,0.015,0.75
"528",3,133.52071654181,0.3,0.015,0.75
"428",3,190.384556663017,0.25,0.015,0.75
"328",3,295.081000096066,0.2,0.015,0.75
"228",3,521.294269756919,0.15,0.015,0.75
"128",3,1167.6391463236,0.1,0.015,0.75
"729",3,84.4853668714406,0.4,0.015,0.8
"629",3,109.017805765977,0.35,0.015,0.8
"529",3,146.828397591347,0.3,0.015,0.8
"429",3,209.549228218747,0.25,0.015,0.8
"329",3,325.02720749578,0.2,0.015,0.8
"229",3,574.533245606561,0.15,0.015,0.8
"129",3,1287.42790287251,0.1,0.015,0.8
"730",3,13.7229256346563,0.4,0.02,0.1
"630",3,16.6413757873544,0.35,0.02,0.1
"530",3,21.1501652403693,0.3,0.02,0.1
"430",3,28.6467265432265,0.25,0.02,0.1
"330",3,42.474782635089,0.2,0.02,0.1
"230",3,72.3889641424849,0.15,0.02,0.1
"130",3,157.914092078722,0.1,0.02,0.1
"731",3,18.3603209882413,0.4,0.02,0.15
"631",3,22.6986550451839,0.35,0.02,0.15
"531",3,29.3997330680369,0.3,0.02,0.15
"431",3,40.535085997093,0.25,0.02,0.15
"331",3,61.0622844435709,0.2,0.02,0.15
"231",3,105.446903380841,0.15,0.02,0.15
"131",3,232.308187830523,0.1,0.02,0.15
"732",3,22.5975229566126,0.4,0.02,0.2
"632",3,28.2368093554004,0.35,0.02,0.2
"532",3,36.9435162653714,0.3,0.02,0.2
"432",3,51.4054013103241,0.25,0.02,0.2
"332",3,78.0550446796633,0.2,0.02,0.2
"232",3,135.664292573825,0.15,0.02,0.2
