"","k","n","f","alpha","power"
"681",3,40.0146739937571,0.35,0.035,0.4
"581",3,53.178545980586,0.3,0.035,0.4
"481",3,75.0343576301082,0.25,0.035,0.4
"381",3,115.295968388795,0.2,0.035,0.4
"281",3,202.312110132524,0.15,0.035,0.4
"181",3,450.968498081057,0.1,0.035,0.4
"782",3,35.1468118748042,0.4,0.035,0.45
"682",3,44.8030012653849,0.35,0.035,0.45
"582",3,59.7011157089296,0.3,0.035,0.45
"482",3,84.4317675670903,0.25,0.035,0.45
"382",3,129.983887859585,0.2,0.035,0.45
"282",3,228.427933236439,0.15,0.035,0.45
"182",3,509.732522568885,0.1,0.035,0.45
"783",3,38.9558811506461,0.4,0.035,0.5
"683",3,49.7828075737753,0.35,0.035,0.5
"583",3,66.4836996233245,0.3,0.035,0.5
"483",3,94.2028925979691,0.25,0.035,0.5
"383",3,145.255097130045,0.2,0.035,0.5
"283",3,255.580108874979,0.15,0.035,0.5
"183",3,570.827826179691,0.1,0.035,0.5
"784",3,42.9680108816118,0.4,0.035,0.55
"684",3,55.0273121831462,0.35,0.035,0.55
"584",3,73.626082244064,0.3,0.035,0.55
"484",3,104.491647751594,0.25,0.035,0.55
"384",3,161.334633137125,0.2,0.035,0.55
"284",3,284.168892875332,0.15,0.035,0.55
"184",3,635.155096383003,0.1,0.035,0.55
"785",3,47.2522662154719,0.4,0.035,0.6
"685",3,60.6269316953448,0.35,0.035,0.6
"585",3,81.2514402794119,0.3,0.035,0.6
"485",3,115.475518994987,0.25,0.035,0.6
"385",3,178.499942876476,0.2,0.035,0.6
"285",3,314.687629743079,0.15,0.035,0.6
"185",3,703.824473965834,0.1,0.035,0.6
"786",3,51.8997875924305,0.4,0.035,0.65
"686",3,66.7007500322506,0.35,0.035,0.65
"586",3,89.521983093774,0.3,0.035,0.65
"486",3,127.388185923353,0.25,0.035,0.65
"386",3,197.116219560458,0.2,0.035,0.65
"286",3,347.785600260945,0.15,0.035,0.65
"186",3,778.296995901895,0.1,0.035,0.65
"787",3,57.0385105242214,0.4,0.035,0.7
"687",3,73.4159497504279,0.35,0.035,0.7
"587",3,98.665288651611,0.3,0.035,0.7
"487",3,140.557455261785,0.25,0.035,0.7
"387",3,217.695769455755,0.2,0.035,0.7
"287",3,384.373754449378,0.15,0.035,0.7
"187",3,860.622217737684,0.1,0.035,0.7
"788",3,62.8608630524203,0.4,0.035,0.75
"688",3,81.0240166334515,0.35,0.035,0.75
"588",3,109.023777903245,0.3,0.035,0.75
"488",3,155.476463201538,0.25,0.035,0.75
"388",3,241.009207968943,0.2,0.035,0.75
"288",3,425.82193932566,0.15,0.035,0.75
"188",3,953.882436378429,0.1,0.035,0.75
"789",3,69.6820960784847,0.4,0.035,0.8
"689",3,89.936643554608,0.35,0.035,0.8
"589",3,121.157919672963,0.3,0.035,0.8
"489",3,172.952351534791,0.25,0.035,0.8
"389",3,268.317726762398,0.2,0.035,0.8
"289",3,474.37249493123,0.15,0.035,0.8
"189",3,1063.12294863348,0.1,0.035,0.8
"790",3,8.80947959527654,0.4,0.04,0.1
"690",3,10.3639088417459,0.35,0.04,0.1
"590",3,12.7769834231292,0.3,0.04,0.1
"490",3,16.8101250508939,0.25,0.04,0.1
"390",3,24.2842941187436,0.2,0.04,0.1
"290",3,40.5066634017388,0.15,0.04,0.1
"190",3,86.9688505414898,0.1,0.04,0.1
"791",3,12.5721040126263,0.4,0.04,0.15
"691",3,15.2937807838279,0.35,0.04,0.15
"591",3,19.5141866894961,0.3,0.04,0.15
"491",3,26.5496226054235,0.25,0.04,0.15
"391",3,39.5481266964133,0.2,0.04,0.15
"291",3,67.691988692645,0.15,0.04,0.15
"191",3,148.185157768416,0.1,0.04,0.15
"792",3,16.1204575450214,0.4,0.04,0.2
"692",3,19.9447105538159,0.35,0.04,0.2
"592",3,25.8647980349035,0.3,0.04,0.2
"492",3,35.7172011674067,0.25,0.04,0.2
"392",3,53.8961398518643,0.2,0.04,0.2
"292",3,93.2226985384402,0.15,0.04,0.2
"192",3,205.650633792866,0.1,0.04,0.2
"793",3,19.5616268788072,0.4,0.04,0.25
"693",3,24.4523717532283,0.35,0.04,0.25
"593",3,32.0145616297071,0.3,0.04,0.25
"493",3,44.587850135267,0.25,0.04,0.25
"393",3,67.7713024328435,0.2,0.04,0.25
"293",3,117.903398432075,0.15,0.04,0.25
"193",3,261.19460223655,0.1,0.04,0.25
"794",3,22.9636402891147,0.4,0.04,0.3
"694",3,28.9061053243089,0.35,0.04,0.3
"594",3,38.0874162800715,0.3,0.04,0.3
"494",3,53.3435481026546,0.25,0.04,0.3
"394",3,81.4623784368931,0.2,0.04,0.3
"294",3,142.252465831004,0.15,0.04,0.3
"194",3,315.98827848874,0.1,0.04,0.3
"795",3,26.378385546985,0.4,0.04,0.35
"695",3,33.3745812014304,0.35,0.04,0.35
"595",3,44.1780094139634,0.3,0.04,0.35
"495",3,62.1222694741189,0.25,0.04,0.35
"395",3,95.1868600062882,0.2,0.04,0.35
"295",3,166.658478798779,0.15,0.04,0.35
"195",3,370.907926827273,0.1,0.04,0.35
"796",3,29.8510682831693,0.4,0.04,0.4
"696",3,37.9173438093314,0.35,0.04,0.4
"596",3,50.3681664461318,0.3,0.04,0.4
"496",3,71.0427207257992,0.25,0.04,0.4
"396",3,109.131164436194,0.2,0.04,0.4
"296",3,191.453804742421,0.15,0.04,0.4
"196",3,426.70211840629,0.1,0.04,0.4
"797",3,33.425605395811,0.4,0.04,0.45
"697",3,42.5921227414977,0.35,0.04,0.45
"597",3,56.7369280331258,0.3,0.04,0.45
"497",3,80.2192845560843,0.25,0.04,0.45
"397",3,123.474568387365,0.2,0.04,0.45
"297",3,216.957624591692,0.15,0.04,0.45
"197",3,484.089539215044,0.1,0.04,0.45
"798",3,37.1490413036525,0.4,0.04,0.5
"698",3,47.4606274159821,0.35,0.04,0.5
"598",3,63.3685655576034,0.3,0.04,0.5
"498",3,89.773544523069,0.25,0.04,0.5
"398",3,138.407338708921,0.2,0.04,0.5
"298",3,243.508504852736,0.15,0.04,0.5
"198",3,543.832241369406,0.1,0.04,0.5
"799",3,41.0757743150778,0.4,0.04,0.55
"699",3,52.5941855586453,0.35,0.04,0.55
"599",3,70.3603523285451,0.3,0.04,0.55
"499",3,99.8458329581524,0.25,0.04,0.55
"399",3,154.149025102618,0.2,0.04,0.55
"299",3,271.496968134527,0.15,0.04,0.55
"199",3,606.809047500099,0.1,0.04,0.55
"7100",3,45.2736062168425,0.4,0.04,0.6
"6100",3,58.0813468654262,0.35,0.04,0.6
"5100",3,77.8330207313438,0.3,0.04,0.6
"4100",3,110.610173119525,0.25,0.04,0.6
"3100",3,170.971615171245,0.2,0.04,0.6
"2100",3,301.406668505375,0.15,0.04,0.6
"1100",3,674.108319316097,0.1,0.04,0.6
"7101",3,49.8320702293258,0.4,0.04,0.65
"6101",3,64.0392177272032,0.35,0.04,0.65
"5101",3,85.9460609647853,0.3,0.04,0.65
"4101",3,122.296317318969,0.25,0.04,0.65
"3101",3,189.234239274356,0.2,0.04,0.65
"2101",3,333.87611887802,0.15,0.04,0.65
"1101",3,747.16680966831,0.1,0.04,0.65
"7102",3,54.8772020834362,0.4,0.04,0.7
"6102",3,70.632473375352,0.35,0.04,0.7
"5102",3,94.9237066019167,0.3,0.04,0.7
"4102",3,135.227299035624,0.25,0.04,0.7
"3102",3,209.441670710006,0.2,0.04,0.7
"2102",3,369.802889158183,0.15,0.04,0.7
"1102",3,828.004091898575,0.1,0.04,0.7
"7103",3,60.5988185775264,0.4,0.04,0.75
"6103",3,78.1092563742511,0.35,0.04,0.75
"5103",3,105.103741392242,0.3,0.04,0.75
"4103",3,149.889569331998,0.25,0.04,0.75
"3103",3,232.354103603964,0.2,0.04,0.75
"2103",3,410.53838702218,0.15,0.04,0.75
"1103",3,919.66090046295,0.1,0.04,0.75
"7104",3,67.3081256928596,0.4,0.04,0.8
"6104",3,86.8760014574114,0.35,0.04,0.8
"5104",3,117.039518825963,0.3,0.04,0.8
"4104",3,167.080020992214,0.25,0.04,0.8
"3104",3,259.216797045781,0.2,0.04,0.8
"2104",3,458.296510975726,0.15,0.04,0.8
"1104",3,1027.1185633007,0.1,0.04,0.8
"7105",3,8.02783584354162,0.4,0.045,0.1
"6105",3,9.36263006797262,0.35,0.045,0.1
"5105",3,11.4370431878691,0.3,0.045,0.1
"4105",3,14.9099025435165,0.25,0.045,0.1
"3105",3,21.3569031287246,0.2,0.045,0.1
"2105",3,35.3690608232988,0.15,0.045,0.1
"1105",3,75.5325973084528,0.1,0.045,0.1
"7106",3,11.6301607078614,0.4,0.045,0.15
"6106",3,14.086213881513,0.35,0.045,0.15
"5106",3,17.8993019870709,0.3,0.045,0.15
"4106",3,24.2622755700323,0.25,0.045,0.15
"3106",3,36.0272810654016,0.2,0.045,0.15
"2106",3,61.5123309799105,0.15,0.045,0.15
"1106",3,134.41755629863,0.1,0.045,0.15
"7107",3,15.0522133671902,0.4,0.045,0.2
"6107",3,18.5754745069884,0.35,0.045,0.2
"5107",3,24.0338267160735,0.3,0.045,0.2
"4107",3,33.1231741266074,0.25,0.045,0.2
"3107",3,49.90082424854,0.2,0.045,0.2
"2107",3,86.2040269308411,0.15,0.045,0.2
"1107",3,189.999448981495,0.1,0.045,0.2
"7108",3,18.3867037837579,0.4,0.045,0.25
"6108",3,22.9460149478692,0.35,0.045,0.25
"5108",3,29.9994852230481,0.3,0.045,0.25
"4108",3,41.7312413967279,0.25,0.045,0.25
"3108",3,63.368117601087,0.2,0.045,0.25
"2108",3,110.161942273557,0.15,0.045,0.25
"1108",3,243.919149805945,0.1,0.045,0.25
"7109",3,21.6940119656314,0.4,0.045,0.3
"6109",3,27.2777159718044,0.35,0.045,0.3
"5109",3,35.9078475522125,0.3,0.045,0.3
"4109",3,50.2516722698819,0.25,0.045,0.3
"3109",3,76.6930754401627,0.2,0.045,0.3
"2109",3,133.861469601153,0.15,0.045,0.3
"1109",3,297.252574620528,0.1,0.045,0.3
"7110",3,25.021803757508,0.4,0.045,0.35
"6110",3,31.6338106612773,0.35,0.045,0.35
"5110",3,41.8466433840738,0.3,0.045,0.35
"4110",3,58.8129043561628,0.25,0.045,0.35
"3110",3,90.0787235048066,0.2,0.045,0.35
"2110",3,157.665997463421,0.15,0.045,0.35
"1110",3,350.819573414679,0.1,0.045,0.35
"7111",3,28.4125694166779,0.4,0.045,0.4
"6111",3,36.0704836930688,0.35,0.045,0.4
"5111",3,47.8932631932308,0.3,0.045,0.4
"4111",3,67.5274633008418,0.25,0.045,0.4
"3111",3,103.702043477411,0.2,0.045,0.4
"2111",3,181.891293669811,0.15,0.045,0.4
"1111",3,405.331733007761,0.1,0.045,0.4
"7112",3,31.9083024740157,0.4,0.045,0.45
"6112",3,40.6430568750977,0.35,0.045,0.45
"5112",3,54.1235656018199,0.3,0.045,0.45
"4112",3,76.505267881845,0.25,0.045,0.45
"3112",3,117.735425846889,0.2,0.045,0.45
"2112",3,206.844425432323,0.15,0.045,0.45
"1112",3,461.480496638019,0.1,0.045,0.45
"7113",3,35.5545494399968,0.4,0.045,0.5
"6113",3,45.4113413588073,0.35,0.045,0.5
"5113",3,60.6193267817131,0.3,0.045,0.5
"4113",3,85.8643283638922,0.25,0.045,0.5
"3113",3,132.363620368704,0.2,0.045,0.5
"2113",3,232.854197551289,0.15,0.045,0.5
"1113",3,520.006006932048,0.1,0.045,0.5
"7114",3,39.4044323727035,0.4,0.045,0.55
"6114",3,50.4449759869523,0.35,0.045,0.55
"5114",3,67.4755564740878,0.3,0.045,0.55
"4114",3,95.7418056907984,0.25,0.045,0.55
"3114",3,147.801250584133,0.2,0.045,0.55
"2114",3,260.302402339405,0.15,0.045,0.55
"1114",3,581.767478889858,0.1,0.045,0.55
"7115",3,43.5244437435655,0.4,0.045,0.6
"6115",3,55.8308970433945,0.35,0.045,0.6
"5115",3,74.8107893109077,0.3,0.045,0.6
"4115",3,106.308561992603,0.25,0.045,0.6
"3115",3,164.315397315274,0.2,0.045,0.6
"2115",3,289.663990148641,0.15,0.045,0.6
"1115",3,647.833712602422,0.1,0.045,0.6
"7116",3,48.0027311415557,0.4,0.045,0.65
"6116",3,61.6843913137646,0.35,0.045,0.65
"5116",3,82.7820682490957,0.3,0.045,0.65
"4116",3,117.790849010322,0.25,0.045,0.65
"3116",3,182.259734699508,0.2,0.045,0.65
"2116",3,321.567772331854,0.15,0.045,0.65
"1116",3,719.619639624642,0.1,0.045,0.65
"7117",3,52.9636159604624,0.4,0.045,0.7
"6117",3,68.1679273972089,0.35,0.045,0.7
"5117",3,91.6106084963289,0.3,0.045,0.7
"4117",3,130.50736157112,0.25,0.045,0.7
"3117",3,202.132254651353,0.2,0.045,0.7
"2117",3,356.899346765416,0.15,0.045,0.7
"1117",3,799.117828869082,0.1,0.045,0.7
"7118",3,58.5945452257132,0.4,0.045,0.75
"6118",3,75.5265210209059,0.35,0.045,0.75
"5118",3,101.630048042145,0.3,0.045,0.75
"4118",3,144.938558311011,0.25,0.045,0.75
"3118",3,224.683831915852,0.2,0.045,0.75
"2118",3,396.993474149454,0.15,0.045,0.75
"1118",3,889.331677418266,0.1,0.045,0.75
"7119",3,65.2031297716988,0.4,0.045,0.8
"6119",3,84.1619474832988,0.35,0.045,0.8
"5119",3,113.387311712606,0.3,0.045,0.8
"4119",3,161.872151909422,0.25,0.045,0.8
"3119",3,251.145322676868,0.2,0.045,0.8
"2119",3,444.038481692642,0.15,0.045,0.8
"1119",3,995.184939634457,0.1,0.045,0.8
"7120",3,7.34413582471981,0.4,0.05,0.1
"6120",3,8.48607683461117,0.35,0.05,0.1
"5120",3,10.2622703045252,0.3,0.05,0.1
"4120",3,13.2409215655567,0.25,0.05,0.1
"3120",3,18.7816367218443,0.2,0.05,0.1
"2120",3,30.8448304128342,0.15,0.05,0.1
"1120",3,65.4574973163785,0.1,0.05,0.1
"7121",3,10.7996321051094,0.4,0.05,0.15
"6121",3,13.0203783981819,0.35,0.05,0.15
"5121",3,16.4726265398064,0.3,0.05,0.15
"4121",3,22.2401478798778,0.25,0.05,0.15
"3121",3,32.9133728618485,0.2,0.05,0.15
"2121",3,56.0459382456863,0.15,0.05,0.15
"1121",3,122.238775399972,0.1,0.05,0.15
"7122",3,14.1058902071416,0.4,0.05,0.2
"6122",3,17.3617308009536,0.35,0.05,0.2
"5122",3,22.4100731543455,0.3,0.05,0.2
"4122",3,30.8220361844668,0.25,0.05,0.2
"3122",3,46.3560689119636,0.2,0.05,0.2
"2122",3,79.9767234177996,0.15,0.05,0.2
"1122",3,176.113267307403,0.1,0.05,0.2
"7123",3,17.3427205315682,0.4,0.05,0.25
"6123",3,21.6070977117315,0.35,0.05,0.25
"5123",3,28.2079109418807,0.3,0.05,0.25
"4123",3,39.1911254490938,0.25,0.05,0.25
"3123",3,59.4525618429687,0.2,0.05,0.25
"2123",3,103.277781664089,0.15,0.05,0.25
"1123",3,228.557206710556,0.1,0.05,0.25
"7124",3,20.5634885668251,0.4,0.05,0.3
"6124",3,25.8274123705314,0.35,0.05,0.3
"5124",3,33.9663672075695,0.3,0.05,0.3
"4124",3,47.4973384843083,0.25,0.05,0.3
"3124",3,72.4443349735964,0.2,0.05,0.3
"2124",3,126.386380253396,0.15,0.05,0.3
"1124",3,280.562164560239,0.1,0.05,0.3
"7125",3,23.8118851904198,0.4,0.05,0.35
"6125",3,30.0810063280566,0.35,0.05,0.35
"5125",3,39.7668242798689,0.3,0.05,0.35
"4125",3,55.8604726234829,0.25,0.05,0.35
"3125",3,85.5214645977251,0.2,0.05,0.35
"2125",3,149.643316283511,0.15,0.05,0.35
"1125",3,332.897854701098,0.1,0.05,0.35
"7126",3,27.1278909098642,0.4,0.05,0.4
"6126",3,34.4209382311799,0.35,0.05,0.4
"5126",3,45.6826291736847,0.3,0.05,0.4
"4126",3,64.3874564300562,0.25,0.05,0.4
"3126",3,98.8524148897032,0.2,0.05,0.4
"2126",3,173.349453644294,0.15,0.05,0.4
"1126",3,386.242438337187,0.1,0.05,0.4
"7127",3,30.5517369363936,0.4,0.05,0.45
"6127",3,38.9003490176533,0.35,0.05,0.45
"5127",3,51.786804326596,0.3,0.05,0.45
"4127",3,73.1841609486145,0.25,0.05,0.45
"3127",3,112.603356784847,0.2,0.05,0.45
"2127",3,197.800926065812,0.15,0.05,0.45
"1127",3,441.262852040467,0.1,0.05,0.45
"7128",3,34.1275899574099,0.4,0.05,0.5
"6128",3,43.5772431050265,0.35,0.05,0.5
"5128",3,58.1586697648989,0.3,0.05,0.5
"4128",3,82.3653399343075,0.25,0.05,0.5
"3128",3,126.954041651008,0.2,0.05,0.5
"2128",3,223.317698206019,0.15,0.05,0.5
"1128",3,498.679404360139,0.1,0.05,0.5
"7129",3,37.9073976335799,0.4,0.05,0.55
"6129",3,48.5197980842397,0.35,0.05,0.55
"5129",3,64.8913582576395,0.3,0.05,0.55
"4129",3,92.0653067125686,0.25,0.05,0.55
"3129",3,142.114617125744,0.2,0.05,0.55
"2129",3,250.273637000416,0.15,0.05,0.55
"1129",3,559.333511851682,0.1,0.05,0.55
"7130",3,41.9564631733529,0.4,0.05,0.6
"6130",3,53.8134421761189,0.35,0.05,0.6
"5130",3,72.1013408276646,0.3,0.05,0.6
"4130",3,102.452011894679,0.25,0.05,0.6
"3130",3,158.347701203381,0.2,0.05,0.6
"2130",3,279.135782918858,0.15,0.05,0.6
"1130",3,624.276192823903,0.1,0.05,0.6
"7131",3,46.3616640762594,0.4,0.05,0.65
"6131",3,59.5718074773297,0.35,0.05,0.65
"5131",3,79.9434319123042,0.3,0.05,0.65
"4131",3,113.748530718997,0.25,0.05,0.65
"3131",3,176.002004398805,0.2,0.05,0.65
"2131",3,310.524180678925,0.15,0.05,0.65
"1131",3,694.902558622449,0.1,0.05,0.65
"7132",3,51.2457599340738,0.4,0.05,0.7
"6132",3,65.9553312393422,0.35,0.05,0.7
"5132",3,88.6360840281091,0.3,0.05,0.7
"4132",3,126.26960889719,0.25,0.05,0.7
"3132",3,195.569348511444,0.2,0.05,0.7
"2132",3,345.313338250638,0.15,0.05,0.7
"1132",3,773.180543905344,0.1,0.05,0.7
"7133",3,56.794047387837,0.4,0.05,0.75
"6133",3,73.2062386467237,0.35,0.05,0.75
"5133",3,98.5091925402493,0.3,0.05,0.75
"4133",3,140.490259050764,0.25,0.05,0.75
"3133",3,217.79211014477,0.2,0.05,0.75
"2133",3,384.823043917593,0.15,0.05,0.75
"1133",3,862.079560755063,0.1,0.05,0.75
"7134",3,63.3108464558746,0.4,0.05,0.8
"6134",3,81.7220401754049,0.35,0.05,0.8
"5134",3,110.103793035574,0.3,0.05,0.8
"4134",3,157.18979018311,0.25,0.05,0.8
"3134",3,243.888028405029,0.2,0.05,0.8
"2134",3,431.218268904761,0.15,0.05,0.8
"1134",3,966.47091654831,0.1,0.05,0.8
